index,Prix,Processeur,RAM,Résolution,Stockage,Systeme_exploitation,Poids,Marque,Coeurs,Taille,Bluetooth,USB,HDMI,Sortie_audio,Caméra,Carte_sd
52,Entre 400 et 600,AMD Ryzen,4,1600x900,256,Windows 10,2.07,HP,4,17.3,False,True,True,True,True,False
53,Entre 250 et 400,MediaTek,4,1920x1080,64,ChromeOS,1.3,LENOVO,8,14,False,True,False,True,True,True
54,Entre 400 et 600,AMD A12,8,1600x900,512,Windows 10,2.1,ASUS,4,17.3,False,True,True,True,True,True
55,Entre 600 et 800,Intel Core i5,16,1920x1080,512,Windows 10,1.2,ACER,4,14,False,True,True,True,True,False
57,>1150,Intel Core i5,16,1920x1080,512,Windows 10,2,ASUS,4,15.6,False,True,True,True,False,False
58,<250,Intel Celeron,3,,32,Windows 10,1.64,NBD,2,10.1,False,True,True,False,False,False
60,Entre 400 et 600,Intel Core i5,4,1536x1024,64,Windows 10,1.11,MICROSOFT,4,12.4,False,True,False,True,True,False
61,Entre 600 et 800,Intel Core i5,8,1920x1080,256,DOS,2.2,LENOVO,4,15.6,False,True,True,True,True,False
62,>1150,Intel Core i5,16,1920x1080,512,Windows 10,2.6,MSI,6,17.3,False,True,True,True,True,False
63,Entre 250 et 400,Intel Celeron,4,1366x768,64,Windows 10,1.64,THOMSON,4,14.1,False,True,True,True,True,True
64,>1150,Apple M1,16,,1000,MacOS,1.6,APPLE,10,15.6,False,True,True,True,True,True
65,Entre 250 et 400,Intel Pentium,4,1366x768,64,Windows 10,1.64,LENOVO,4,14,False,True,True,True,True,True
66,<250,Intel Celeron,3,,32,Windows 10,1.64,NBD,2,10.1,False,True,True,False,False,False
67,<250,Intel Celeron,3,,32,Windows 10,1.64,NBD,2,10.1,False,True,True,False,False,False
68,<250,Intel Atom,6,1366x768,128,Windows 10,1.15,KUU,4,13.3,False,True,True,False,False,False
69,Entre 800 et 1150,Intel Core i7,16,1920x1080,512,Windows 10,1.8,ASUS,4,15.6,False,True,True,True,True,False
70,Entre 250 et 400,Intel Pentium,4,1920x1080,64,Windows 10,1.3,ACER,4,14,False,True,True,True,True,False
71,Entre 400 et 600,Intel Celeron,8,1920x1080,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
72,Entre 600 et 800,Intel Core i5,8,1920x1080,512,Windows 10,1.50,ASUS,4,14,False,True,True,False,False,True
73,>1150,Intel Core i7,16,1920x1080,512,Windows 10,2.5,ACER,6,15.6,False,True,True,True,True,False
74,Entre 400 et 600,Intel Celeron,4,1920x1080,64,ChromeOS,1.64,ACER,2,17.3,False,True,False,True,True,True
75,Entre 400 et 600,AMD 3000,4,1600x900,256,Windows 10,2.2,LENOVO,2,17.3,False,True,True,True,True,True
76,Entre 250 et 400,Intel Pentium,4,1920x1080,256,Windows 10,1.64,ACER,4,14,False,False,False,False,False,False
77,Entre 400 et 600,Intel Celeron,4,1366x768,1000,Windows 10,1.9,ACER,2,15.6,False,True,True,True,True,False
78,Entre 600 et 800,AMD Ryzen,8,1920x1080,128,Windows 10,1.64,LENOVO,8,15.6,False,True,True,True,True,True
79,Entre 800 et 1150,Intel Core i5,8,1920x1080,512,Aucun,2.60,ASUS,6,17.3,False,True,True,False,False,False
80,Entre 250 et 400,Intel Celeron,4,1366x768,64,Windows 10,1.64,LENOVO,2,14,False,True,True,True,True,True
81,>1150,Apple M1,8,2560x1600,512,MacOS,1.29,APPLE,8,13.3,False,True,False,True,True,False
82,Entre 400 et 600,Intel Core i3,4,1366x768,128,Windows 10,1.78,HP,2,15.6,False,True,True,True,True,True
83,Entre 600 et 800,Intel Core i5,8,1920x1080,512,DOS,2.75,HP,4,17.3,False,True,True,True,True,True
84,Entre 600 et 800,Intel Core i5,8,,512,Windows 10,1.64,MSI,4,15.6,False,False,False,False,False,False
85,>1150,AMD Ryzen,16,2560x1440,512,Windows 10,1.9,ASUS,8,15.6,False,True,True,True,True,True
87,Entre 250 et 400,AMD 3000,4,1366x768,1000,Windows 10,1.64,LENOVO,2,15.6,False,True,True,True,True,True
88,Entre 400 et 600,AMD Athlon,8,1920x1080,256,Windows 10,1.64,HP,4,15.6,False,False,False,False,False,False
89,Entre 250 et 400,Intel Celeron,4,1920x1080,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
90,Entre 250 et 400,Intel Celeron,6,,64,Windows 10,1.64,NBD,2,13.3,False,True,True,False,False,False
91,Entre 800 et 1150,Intel Core i7,16,1920x1080,256,Windows 10,1.64,ASUS,4,17.3,False,True,True,True,True,True
92,Entre 800 et 1150,Intel Core i7,16,1920x1080,512,Windows 10,1.6,MSI,6,15.6,False,True,True,True,True,True
93,>1150,Intel Core i7,16,1920x1080,512,DOS,2.6,MSI,8,17.3,False,True,True,True,True,False
95,Entre 250 et 400,Intel Celeron,8,3000x2000,256,Windows 10,1.10,KUU,2,13.5,False,True,True,False,False,False
96,Entre 400 et 600,Intel Celeron,4,1280x1040,256,Windows 10,1.64,ACER,4,17.3,False,False,False,False,False,False
97,Entre 600 et 800,Intel Core i5,16,1920x1080,512,Windows 10,1.64,HP,4,17.3,False,False,False,False,False,False
101,Entre 250 et 400,Intel Celeron,4,1920x1080,256,Windows 10,1.64,HP,4,15.6,False,False,False,False,False,False
102,Entre 600 et 800,Intel Core i5,8,1920x1080,256,Windows 10,1.64,LENOVO,4,15.6,False,True,True,True,True,True
103,Entre 600 et 800,Intel Core i5,8,1600x900,512,Windows 10,2.1,LENOVO,4,17.3,False,True,True,True,True,True
104,Entre 800 et 1150,Intel Core i5,8,1536x1024,256,Windows 10,1.11,MICROSOFT,4,12.4,False,True,False,True,True,False
105,Entre 800 et 1150,Intel Core i5,8,1600x900,512,Windows 10,2.1,LENOVO,4,17.3,False,True,True,True,True,True
106,Entre 250 et 400,AMD 3000,4,1366x768,128,Windows 10,1.85,LENOVO,2,15.6,False,True,True,True,True,True
107,Entre 800 et 1150,Intel Core i7,16,1920x1080,1000,Windows 10,1.4,ASUS,4,14,False,True,True,True,True,True
109,>1150,AMD Ryzen,16,1920x1080,512,Windows 10,2.46,HP,8,15.6,False,True,True,True,True,True
